timestamp,T1_suction,P1_suction,T2_discharge,P2_discharge,T_ambient,leak_status
01-10-2025 00:15,9.65,5.07,73.92,18.67,30.4,0
01-10-2025 00:20,9.63,5.11,76.57,19.1,31.5,0
01-10-2025 00:25,9.81,5.25,76.62,19.26,31.53,0
01-10-2025 00:30,10.18,5.17,77.18,19.21,31.62,0
01-10-2025 00:35,9.83,5.08,76.65,19.15,31.81,0
01-10-2025 00:40,9.98,5.15,75,19.32,31.66,0
01-10-2025 00:45,9.45,5.09,76.33,19.1,31.52,0
01-10-2025 00:50,10.44,5.13,75.76,19.48,31.87,0
01-10-2025 00:55,9.68,5.22,76.49,19.24,31.74,0
01-10-2025 01:00,10.65,5.14,77.5,19.31,32.61,0
01-10-2025 01:05,10.09,5.12,78.04,19.37,33.17,0
01-10-2025 01:10,10.06,5.23,78.28,19.76,33.07,0
01-10-2025 01:15,9.89,5.26,79.17,19.88,33.01,0
01-10-2025 01:20,10.06,5.13,77.22,19.4,32.68,0
01-10-2025 01:25,10.3,5.33,79.05,19.93,33.72,0
01-10-2025 01:30,10.12,5.22,78.23,19.71,33.15,0
01-10-2025 01:35,10.2,5.08,77.67,19.48,33.06,0
01-10-2025 01:40,10.35,5.31,78.24,19.88,33.54,0
01-10-2025 01:45,10.18,5.2,76.82,19.63,32.71,0
01-10-2025 01:50,10.41,5.29,78.12,19.66,33.28,0
01-10-2025 01:55,10.17,5.2,77.64,19.89,32.9,0
01-10-2025 02:00,9.86,5.14,77.35,19.81,33.73,0
01-10-2025 02:05,10.74,5.23,79.62,19.86,34.31,0
01-10-2025 02:10,10.01,5.28,78.27,20.3,33.96,0
01-10-2025 02:15,10.58,5.32,77.97,19.71,34.2,0
01-10-2025 02:20,10.92,5.22,80.81,20.16,34.97,0
01-10-2025 02:25,10.26,5.26,77.86,20.11,34.37,0
01-10-2025 02:30,10.92,5.17,79.07,20.25,35.24,0
01-10-2025 02:35,11.18,5.26,80.19,20.25,34.97,0
01-10-2025 02:40,10.63,5.38,78.63,20.54,34.82,0
01-10-2025 02:45,10.79,5.39,78.44,19.98,34.55,0
01-10-2025 02:50,10.78,5.23,80.68,20.69,35.67,0
01-10-2025 02:55,11.07,5.41,79.39,20.65,35.58,0
01-10-2025 03:00,11.33,5.5,81.78,20.98,37.34,0
01-10-2025 03:05,11.37,5.35,81.44,20.53,35.82,0
01-10-2025 03:10,10.66,5.29,81.12,20.64,35.57,0
01-10-2025 03:15,10.25,5.29,79.57,20.61,35.6,0
01-10-2025 03:20,10.62,5.3,80.69,20.44,35.64,0
01-10-2025 03:25,10.6,5.39,80.55,20.4,35.75,0
01-10-2025 03:30,11.11,5.18,80.88,20.29,35.69,0
01-10-2025 03:35,11.64,5.21,82.34,21.06,36.91,0
01-10-2025 03:40,11.42,5.37,81.36,20.85,36.59,0
01-10-2025 03:45,10.86,5.52,81.6,20.56,36.26,0
01-10-2025 03:50,11.61,5.34,81.02,20.7,36.41,0
01-10-2025 03:55,10.88,5.31,80.5,20.31,35.47,0
01-10-2025 04:00,11.4,5.62,81.38,20.78,36.94,0
01-10-2025 04:05,10.82,5.44,81.54,20.57,36.57,0
01-10-2025 04:10,11.16,5.41,81.47,20.86,36.55,0
01-10-2025 04:15,11.57,5.22,82.09,20.98,36.8,0
01-10-2025 04:20,11.47,5.43,83.15,21,37.17,0
01-10-2025 04:25,10.95,5.38,81.91,21.11,37.23,0
01-10-2025 04:30,11.63,5.43,83.03,21.07,37.49,0
01-10-2025 04:35,11.67,5.37,81.74,20.95,37.41,0
01-10-2025 04:40,11.14,5.31,82.63,21.02,37.48,0
01-10-2025 04:45,11.64,5.43,82.77,21.33,37.86,0
01-10-2025 04:50,11.44,5.45,81.8,21.15,37.65,0
01-10-2025 04:55,11.4,5.35,83.27,20.87,37.37,0
01-10-2025 05:00,11.08,5.45,81.16,21.18,37.45,0
01-10-2025 05:05,11.72,5.39,83.33,21.14,37.74,0
01-10-2025 05:10,11.4,5.55,82.22,21.38,38.19,0
01-10-2025 05:15,11.63,5.39,83.61,21.36,37.97,0
01-10-2025 05:20,11.71,5.34,81.49,21.14,37.67,0
01-10-2025 05:25,10.93,5.49,81.27,21.17,37.43,0
01-10-2025 05:30,11.18,5.32,82.24,21.16,37.33,0
01-10-2025 05:35,11.25,5.44,83.29,21.56,37.78,0
01-10-2025 05:40,11.48,5.4,81.15,21.26,37.5,0
01-10-2025 05:45,11.48,5.53,80.94,21.22,36.84,0
01-10-2025 05:50,11.14,5.3,82.51,21.05,37.66,0
01-10-2025 05:55,11.19,5.44,82.28,21.08,37.45,0
01-10-2025 06:00,11.32,5.2,82.9,21.46,37.68,0
01-10-2025 06:05,11.29,5.57,82.58,21.13,37.66,0
01-10-2025 06:10,11.12,5.25,82.01,21.46,37.5,0
01-10-2025 06:15,11.06,5.44,82.62,21.58,38.36,0
01-10-2025 06:20,10.98,5.29,82.13,20.95,37.03,0
01-10-2025 06:25,11.47,5.48,82.62,21.27,37.81,0
01-10-2025 06:30,11.36,5.51,82.47,21.41,38.2,0
01-10-2025 06:35,11.66,5.45,82.56,21.62,38.26,0
01-10-2025 06:40,10.91,5.31,82,21.14,38.07,0
01-10-2025 06:45,11.26,5.41,81.32,21.06,37.4,0
01-10-2025 06:50,11.78,5.41,82.64,21.22,38.45,0
01-10-2025 06:55,11.6,5.51,83.76,21.55,38.5,0
01-10-2025 07:00,11.67,5.34,82.84,21.02,37.14,0
01-10-2025 07:05,10.99,5.5,82.73,21.3,37.67,0
01-10-2025 07:10,11.29,5.46,82.6,21.19,38.09,0
01-10-2025 07:15,11.15,5.36,81.19,21.14,37.21,0
01-10-2025 07:20,11.77,5.4,84.32,21.28,38.04,0
01-10-2025 07:25,11.36,5.18,82.81,21.24,37.58,0
01-10-2025 07:30,10.91,5.33,81.57,21.2,37.14,0
01-10-2025 07:35,11.82,5.43,83.35,21.36,38.37,0
01-10-2025 07:40,11.46,5.22,81.73,21.15,37.86,0
01-10-2025 07:45,11.18,5.4,82.76,21.25,37.22,0
01-10-2025 07:50,11.28,5.22,82.4,21.03,37.09,0
01-10-2025 07:55,11.39,5.42,83.2,21.13,38.05,0
01-10-2025 08:00,11.72,5.44,81.9,21.41,38.05,0
01-10-2025 08:05,11.39,5.38,83.03,21.28,37.52,0
01-10-2025 08:10,11.22,5.35,82.31,20.93,37.5,0
01-10-2025 08:15,11.8,5.41,81.72,21.16,37.17,0
01-10-2025 08:20,11.36,5.43,84.06,21.06,37.08,0
01-10-2025 08:25,11.35,5.41,80.69,20.78,36.34,0
01-10-2025 08:30,11.54,5.27,81.71,20.7,36.87,0
01-10-2025 08:35,10.99,5.31,80.95,20.94,36.6,0
01-10-2025 08:40,11.35,5.4,83.12,21.06,37.55,0
01-10-2025 08:45,11.36,5.41,83.34,20.88,37.4,0
01-10-2025 08:50,11.16,5.19,80.8,20.98,36.29,0
01-10-2025 08:55,10.8,5.31,80.61,20.68,36.44,0
01-10-2025 09:00,11.32,5.23,79.91,20.86,36.49,0
01-10-2025 09:05,11.58,5.31,79.91,20.98,36.03,0
01-10-2025 09:10,11.52,5.44,82.92,21.16,37.06,0
01-10-2025 09:15,10.71,5.19,81.49,20.51,35.62,0
01-10-2025 09:20,11.15,5.19,82.88,20.82,36.75,0
01-10-2025 09:25,11.03,5.15,81.65,20.57,35.82,0
01-10-2025 09:30,10.91,5.21,80.53,20.61,36.13,0
01-10-2025 09:35,10.94,5.23,80.32,20.34,35.3,0
01-10-2025 09:40,10.59,5.22,81.09,20.82,36.19,0
01-10-2025 09:45,11.28,5.34,81.81,20.71,35.71,0
01-10-2025 09:50,10.77,5.26,81.93,20.56,36.04,0
01-10-2025 09:55,11,5.37,81.29,20.87,36.3,0
01-10-2025 10:00,11.35,5.31,82.25,20.86,36.28,0
01-10-2025 10:05,11.45,5.19,80.89,20.54,35.71,0
01-10-2025 10:10,10.81,5.27,79.42,20.21,34.94,0
01-10-2025 10:15,10.94,5.2,81.18,20.56,35.63,0
01-10-2025 10:20,10.88,5.33,80.19,20.21,35.42,0
01-10-2025 10:25,10.66,5.16,80.27,20.66,36.01,0
01-10-2025 10:30,10.39,5.28,78.65,20.09,34.31,0
01-10-2025 10:35,10.63,5.29,79.86,20.04,34.28,0
01-10-2025 10:40,10.29,5.22,77.01,20.13,34.18,0
01-10-2025 10:45,10.32,5.29,78.34,19.95,33.95,0
01-10-2025 10:50,10.58,5.23,77.03,19.92,33.82,0
01-10-2025 10:55,10.98,5.33,79.31,20.14,34.51,0
01-10-2025 11:00,10.06,5.31,77.55,19.59,33.48,0
01-10-2025 11:05,10.13,5.11,78.69,19.64,33.5,0
01-10-2025 11:10,10.52,5.16,80.31,19.6,33.17,0
01-10-2025 11:15,10.63,5.27,78.43,19.53,33.51,0
01-10-2025 11:20,10.09,5.11,77.96,19.72,33.1,0
01-10-2025 11:25,10.47,5.11,78.6,19.46,33.01,0
01-10-2025 11:30,10.06,5.2,75.95,19.22,32.82,0
01-10-2025 11:35,10.31,5.19,77.82,19.27,33.31,0
01-10-2025 11:40,10.44,5.32,79.11,19.94,33.95,0
01-10-2025 11:45,9.98,5.27,78.19,19.47,33.13,0
01-10-2025 11:50,10.52,5.17,76.82,19.68,33.14,0
01-10-2025 11:55,9.7,5.23,78.4,19.44,33.18,0
01-10-2025 12:00,10.48,5.37,77.71,19.71,33.27,0
01-10-2025 12:05,9.88,5.22,77.01,19.47,32.5,0
01-10-2025 12:10,9.62,5.14,77.3,18.81,31.89,0
01-10-2025 12:15,9.63,5.1,74.25,18.97,31.54,0
01-10-2025 12:20,10.16,5.13,76.78,19.5,32.47,0
01-10-2025 12:25,10.13,4.99,75.11,18.96,31.18,0
01-10-2025 12:30,9.76,5.09,74.72,18.89,31.2,0
01-10-2025 12:35,9.81,5.21,76.99,18.98,31.68,0
01-10-2025 12:40,9.18,4.99,74.94,19.26,30.92,0
01-10-2025 12:45,10.4,4.96,75.81,19.2,30.99,0
01-10-2025 12:50,9.56,4.93,75.11,18.81,30.81,0
01-10-2025 12:55,9.57,5.17,75.88,18.86,31.16,0
01-10-2025 13:00,9.51,5.07,75.33,18.41,30.23,0
01-10-2025 13:05,9.52,5.07,75.78,19.06,31.26,0
01-10-2025 13:10,10.14,5.2,74.57,18.68,30.96,0
01-10-2025 13:15,9.91,5.05,74.88,18.56,30.36,0
01-10-2025 13:20,9.19,5.09,75.26,18.45,30.38,0
01-10-2025 13:25,10.03,5.04,74.58,18.65,30.11,0
01-10-2025 13:30,9.61,5.13,73.15,18.44,29.24,0
01-10-2025 13:35,10.07,5,74.63,18.68,30.01,0
01-10-2025 13:40,9.57,5.05,73.27,18.13,29.18,0
01-10-2025 13:45,9.52,5.25,73.5,18.2,29.1,0
01-10-2025 13:50,9.16,4.92,73.41,18.06,29.03,0
01-10-2025 13:55,9.19,5.06,72.09,18.02,28.38,0
01-10-2025 14:00,8.86,5.14,72.93,17.88,28.55,0
01-10-2025 14:05,9.59,4.99,73.63,18.35,28.88,0
01-10-2025 14:10,9.84,5.02,70.8,17.76,28.22,0
01-10-2025 14:15,9.03,4.95,72.15,17.91,28.07,0
01-10-2025 14:20,9.04,5.02,72.54,17.93,27.93,0
01-10-2025 14:25,8.81,5,72.89,18.14,28.28,0
01-10-2025 14:30,9.18,5.09,72.12,17.95,28.13,0
01-10-2025 14:35,8.82,4.79,71.41,17.85,27.34,0
01-10-2025 14:40,8.77,4.98,70.49,17.95,27.73,0
01-10-2025 14:45,8.62,5.02,70.87,17.58,27.32,0
01-10-2025 14:50,9.02,4.9,74.66,17.73,27.23,0
01-10-2025 14:55,9.1,5.09,72.93,17.85,28.08,0
01-10-2025 15:00,8.52,4.92,72.01,17.65,27.3,0
01-10-2025 15:05,8.69,4.86,70.96,17.42,26.92,0
01-10-2025 15:10,8.78,4.9,69.83,17.74,27.1,0
01-10-2025 15:15,8.16,4.87,70.59,17.45,26.47,0
01-10-2025 15:20,8.63,4.96,69.99,17.72,27.08,0
01-10-2025 15:25,9.02,4.96,72.45,17.41,26.69,0
01-10-2025 15:30,8.67,4.85,70.2,17.33,26.23,0
01-10-2025 15:35,9.23,4.95,70.37,17.78,27.68,0
01-10-2025 15:40,8.75,4.87,71.52,17.35,27.2,0
01-10-2025 15:45,7.92,4.83,70.11,16.75,25.84,0
01-10-2025 15:50,9.08,5.02,72.97,17.58,27.28,0
01-10-2025 15:55,8.26,5.08,72.09,16.99,26.38,0
01-10-2025 16:00,8.25,4.85,70.72,17.44,26.37,0
01-10-2025 16:05,8.58,4.89,70.64,17.28,26.46,0
01-10-2025 16:10,8.71,4.88,70.64,17.13,26,0
01-10-2025 16:15,8.02,4.82,69.05,17.14,25.71,0
01-10-2025 16:20,9.06,5.07,70.82,17.51,26.5,0
01-10-2025 16:25,9.07,4.89,71.76,17.37,26.45,0
01-10-2025 16:30,8.08,4.79,69.78,17.04,25.29,0
01-10-2025 16:35,7.92,4.87,69.28,16.94,25.39,0
01-10-2025 16:40,8.85,4.75,70.6,17.22,26,0
01-10-2025 16:45,8.2,5.05,68.94,17.09,25.64,0
01-10-2025 16:50,8.87,4.82,68.11,17.22,25.42,0
01-10-2025 16:55,8.69,4.83,69.73,16.91,25.67,0
01-10-2025 17:00,8.35,4.72,70.77,17.03,25.66,0
01-10-2025 17:05,8.18,5.04,71.38,17.15,26.4,0
01-10-2025 17:10,8.54,4.85,69.07,17.39,25.56,0
01-10-2025 17:15,7.89,4.96,70.16,16.71,24.65,0
01-10-2025 17:20,8.11,4.83,68.27,16.79,24.45,0
01-10-2025 17:25,8.52,4.84,68.5,17.11,24.97,0
01-10-2025 17:30,8.3,5,68.23,16.95,25.1,0
01-10-2025 17:35,8.4,4.76,70.91,17.2,25.51,0
01-10-2025 17:40,8.05,4.82,67.46,16.53,23.92,0
01-10-2025 17:45,8.25,4.85,69.56,16.67,24.99,0
01-10-2025 17:50,8.47,4.89,70.52,16.96,25.65,0
01-10-2025 17:55,7.82,4.8,68.3,16.85,24.52,0
01-10-2025 18:00,8.43,4.8,69.31,17.06,25.17,0
01-10-2025 18:05,7.94,4.89,68.29,16.58,24.53,0
01-10-2025 18:10,8.14,4.89,68.42,16.67,24.51,0
01-10-2025 18:15,8.08,4.79,68.67,16.37,24.41,0
01-10-2025 18:20,8.14,4.7,69.25,16.9,25.1,0
01-10-2025 18:25,8.28,4.79,68.86,16.63,25.05,0
01-10-2025 18:30,8.17,4.9,70.77,17.04,25.94,0
01-10-2025 18:35,8.84,4.9,70.79,17.06,26.15,0
01-10-2025 18:40,8.56,4.79,68.42,16.81,24.8,0
01-10-2025 18:45,7.81,4.97,68.32,16.8,25.12,0
01-10-2025 18:50,8.12,4.88,70.53,17.22,25.68,0
01-10-2025 18:55,8.35,4.88,70.4,17,25.33,0
01-10-2025 19:00,8.61,4.93,71.18,17.65,26.37,0
01-10-2025 19:05,8.06,4.84,68.38,16.82,25.02,0
01-10-2025 19:10,8.03,4.82,69.13,16.94,25,0
01-10-2025 19:15,7.89,4.83,69.15,16.78,24.89,0
01-10-2025 19:20,8.56,5.03,69.27,16.96,25.7,0
01-10-2025 19:25,7.99,4.82,68.76,16.75,24.54,0
01-10-2025 19:30,8.32,4.81,67.42,17.05,24.95,0
01-10-2025 19:35,7.83,5,69.69,17.12,25.22,0
01-10-2025 19:40,8.37,4.83,68.81,17.24,24.95,0
01-10-2025 19:45,8.21,4.86,70.79,16.98,25.19,0
01-10-2025 19:50,7.95,4.79,69.85,16.76,24.89,0
01-10-2025 19:55,8.6,4.82,70.24,17.41,25.46,0
01-10-2025 20:00,8.12,5,70.24,16.96,25.11,0
01-10-2025 20:05,8.31,4.9,69.74,16.66,24.91,0
01-10-2025 20:10,8.4,4.85,69.49,16.85,25.43,0
01-10-2025 20:15,8.72,4.92,71.37,17.43,26.57,0
01-10-2025 20:20,8.3,4.92,70.19,17.55,26.32,0
01-10-2025 20:25,8.04,4.8,69.81,16.79,25.73,0
01-10-2025 20:30,8.41,4.78,70.01,17.44,26.56,0
01-10-2025 20:35,9.22,4.76,70.45,17.27,26.19,0
01-10-2025 20:40,8.3,4.88,70.56,17.3,26.28,0
01-10-2025 20:45,8.8,4.96,70.32,17.35,25.54,0
01-10-2025 20:50,8.75,4.75,69.97,16.72,25.3,0
01-10-2025 20:55,8.25,4.92,68.87,17.35,25.68,0
01-10-2025 21:00,8.4,4.92,70.14,17.4,26.24,0
01-10-2025 21:05,8.51,4.83,71.83,17.32,25.91,0
01-10-2025 21:10,8.72,4.8,69.95,17.32,26.21,0
01-10-2025 21:15,8.42,4.96,70.72,16.89,25.81,0
01-10-2025 21:20,8.38,5.01,70.31,17.27,26.51,0
01-10-2025 21:25,8.72,4.83,69.09,17.12,26.18,0
01-10-2025 21:30,8.93,4.96,70.98,17.42,26.94,0
01-10-2025 21:35,8.78,4.96,69.69,17.25,26.26,0
01-10-2025 21:40,8.67,4.95,73.88,17.33,27.51,0
01-10-2025 21:45,8.42,4.94,69.86,17.51,26.8,0
01-10-2025 21:50,9.08,4.96,71.57,17.68,27.4,0
01-10-2025 21:55,9.34,4.84,71.52,17.67,27.24,0
01-10-2025 22:00,8.5,4.85,71.86,17.3,26.75,0
01-10-2025 22:05,8.9,4.91,71.99,17.63,27.68,0
01-10-2025 22:10,8.81,5.09,72.46,17.92,27.88,0
01-10-2025 22:15,8.96,5,72.81,17.95,28.45,0
01-10-2025 22:20,8.96,5.04,71.69,17.79,27.73,0
01-10-2025 22:25,9.58,5.04,73.24,18.14,28.62,0
01-10-2025 22:30,8.5,5.02,71.76,18.03,27.8,0
01-10-2025 22:35,8.51,4.94,72.22,17.95,28.74,0
01-10-2025 22:40,9.02,5.03,71.35,18.07,27.71,0
01-10-2025 22:45,9.06,4.95,72.24,18.16,28.46,0
01-10-2025 22:50,8.82,5.07,72.98,17.97,28.65,0
01-10-2025 22:55,8.86,4.86,71.86,17.76,27.91,0
01-10-2025 23:00,8.77,4.93,71.66,17.83,28.18,0
01-10-2025 23:05,8.97,4.89,75.24,18.33,29.58,0
01-10-2025 23:10,9.48,5.16,73.02,18.1,29.48,0
01-10-2025 23:15,9.1,5.05,74.96,18.07,29.27,0
01-10-2025 23:20,9.78,5.03,74.94,18.64,29.57,0
01-10-2025 23:25,9.37,4.88,74.26,18.24,28.94,0
01-10-2025 23:30,9.46,4.98,74.14,18.67,30.05,0
01-10-2025 23:35,9.85,5.13,75.05,18.6,30.24,0
01-10-2025 23:40,9.37,5.01,73.81,17.99,28.68,0
01-10-2025 23:45,9.63,5.12,75.73,18.92,31.11,0
01-10-2025 23:50,8.95,4.97,74.23,18.58,30.18,0
01-10-2025 23:55,9.53,5.04,74.67,18.45,30.33,0
02-10-2025 00:00,9.8,5.11,76.35,18.65,31.32,0
02-10-2025 00:05,10.11,5.03,76.68,19.02,31.41,0
02-10-2025 00:10,9.7,5.13,76.23,19,31.06,0
02-10-2025 00:15,9.58,4.94,76.09,18.87,30.87,0
02-10-2025 00:20,9.55,5.25,75.19,19.16,31.13,0
02-10-2025 00:25,9.78,5.25,77.34,19.44,32.32,0
02-10-2025 00:30,9.15,5.22,75.51,18.96,31.07,0
02-10-2025 00:35,9.79,5.13,76.55,18.99,31.77,0
02-10-2025 00:40,9.91,5.27,76.26,19.18,31.56,0
02-10-2025 00:45,9.99,5.22,76.4,19.4,32.11,0
02-10-2025 00:50,9.43,5.19,76.03,18.97,31.14,0
02-10-2025 00:55,10.21,5.1,76.7,19.41,32.36,0
02-10-2025 01:00,10.34,5.11,76.7,19.49,32.54,0
02-10-2025 01:05,9.95,5.14,76.65,19.07,31.74,0
02-10-2025 01:10,10.03,5.2,77.44,19.62,32.88,0
02-10-2025 01:15,10.7,5.06,78.62,19.85,32.97,0
02-10-2025 01:20,10.14,5.15,78.72,19.78,33.25,0
02-10-2025 01:25,10.43,5.06,76.54,19.82,33.37,0
02-10-2025 01:30,10.4,5.21,78.12,19.65,32.87,0
02-10-2025 01:35,9.87,5.21,77.48,19.85,33.2,0
02-10-2025 01:40,9.93,5.19,78.52,19.94,33.73,0
02-10-2025 01:45,10.32,5.26,78.31,19.7,33.87,0
02-10-2025 01:50,10.76,5.19,79.08,20.08,34.47,0
02-10-2025 01:55,10.83,5.21,77.99,19.97,34.18,0
02-10-2025 02:00,10.74,5.27,78.56,20.03,34.3,0
02-10-2025 02:05,10.08,5.24,79.26,19.93,34.2,0
02-10-2025 02:10,10.65,5.26,77.91,20.07,34.23,0
02-10-2025 02:15,10.24,5.16,78.7,20.12,34.29,0
02-10-2025 02:20,11.03,5.29,82.15,20.11,35.36,0
02-10-2025 02:25,10.8,5.27,78.96,20.21,34.66,0
02-10-2025 02:30,10.99,5.37,81.02,20.66,35.88,0
02-10-2025 02:35,10.82,5.32,79.04,20.41,35.62,0
02-10-2025 02:40,10.5,5.32,80.23,19.97,34.21,0
02-10-2025 02:45,10.71,5.23,80.86,20.14,35.04,0
02-10-2025 02:50,10.84,5.42,80.83,20.36,35.14,0
02-10-2025 02:55,10.32,5.33,78.72,20.09,35.02,0
02-10-2025 03:00,10.74,5.33,81.63,20.73,36.54,0
02-10-2025 03:05,10.22,5.12,80.98,20.24,34.8,0
02-10-2025 03:10,10.27,5.33,80.82,20.7,35.73,0
02-10-2025 03:15,11.31,5.31,80.63,20.78,36.07,0
02-10-2025 03:20,10.96,5.37,80.07,20.57,36.14,0
02-10-2025 03:25,11.01,5.3,80.24,20.89,36.48,0
02-10-2025 03:30,11.54,5.26,81.68,20.5,36.38,0
02-10-2025 03:35,11.34,5.38,79.78,20.71,36.54,0
02-10-2025 03:40,11.06,5.21,81.3,21.25,36.89,0
02-10-2025 03:45,11.07,5.41,81.41,20.97,36.34,0
02-10-2025 03:50,10.99,5.32,82.9,20.91,36.77,0
02-10-2025 03:55,11.5,5.52,82.55,20.96,36.78,0
02-10-2025 04:00,11.33,5.4,82.01,20.75,36.7,0
02-10-2025 04:05,11.52,5.31,81.62,20.76,36.99,0
02-10-2025 04:10,11.96,5.46,84.23,21.51,37.76,0
02-10-2025 04:15,10.7,5.29,81.84,20.49,36.17,0
02-10-2025 04:20,11.35,5.28,80.47,20.97,36.78,0
02-10-2025 04:25,11.47,5.47,82.4,21.18,37.16,0
02-10-2025 04:30,11.19,5.35,81.71,20.94,37.06,0
02-10-2025 04:35,11.72,5.63,82.22,21.34,37.53,0
02-10-2025 04:40,11.39,5.42,81.33,20.87,37.11,0
02-10-2025 04:45,10.98,5.31,81.84,20.93,36.53,0
02-10-2025 04:50,11.18,5.47,82.03,21.04,36.96,0
02-10-2025 04:55,11.74,5.29,82.19,21.35,37.55,0
02-10-2025 05:00,11.72,5.37,80.67,21.39,37.58,0
02-10-2025 05:05,11.4,5.4,83.45,20.87,36.65,0
02-10-2025 05:10,11.66,5.4,83.13,21.16,37.66,0
02-10-2025 05:15,11.72,5.51,83.83,21.34,38.35,0
02-10-2025 05:20,11.38,5.43,82.37,21.17,38.08,0
02-10-2025 05:25,11.78,5.52,84.73,21.37,38.29,0
02-10-2025 05:30,11.67,5.34,82.45,21.43,37.97,0
02-10-2025 05:35,11.3,5.29,82.17,20.93,37.1,0
